iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
0	1.56495524	0	0.9836264403	0.9861456483	0.4825	0.9426751592	0.9425028185	0.953340403	0	0.9526916803	0
1	1.271358952	0	0.9836264403	0.9892318737	0.5611285266	0.9426751592	0.9347826087	0.9538461538	0.8538011696	0.9475409836	0
2	1.068598478	0.9733840304	0.9836264403	0.9885057471	0.8668280872	0.85466795	0.9329004329	0.9523310634	0.8538011696	0.948630137	0
3	0.9251845113	1	0.9836264403	0.9885057471	0.8668280872	0.8604651163	0.9329004329	0.9543307087	0.8538011696	0.9557823129	0
4	0.8147522266	1	0.9836264403	0.9885139986	0.7117296223	0.9426751592	0.9327548807	0.9538461538	0.8538011696	0.9473684211	0
5	0.7209161536	1	0.9836264403	0.9885139986	0.8577777778	0.9426751592	0.9327548807	0.9538300105	0.806557377	0.9540034072	0.9
6	0.6435161496	1	0.9836264403	0.9881422925	0.8577777778	0.9426751592	0.9420765027	0.9523310634	0.8118811881	0.948630137	0.9622641509
7	0.5800807905	1	0.9836264403	0.9888769286	0.8668280872	0.9426751592	0.9440175631	0.9439588689	0.8538011696	0.9124087591	0.9523809524
8	0.524434207	1	0.9836264403	0.9888769286	0.8603104213	0.9436769394	0.9440175631	0.9523310634	0.806557377	0.948630137	0.9523809524
9	0.4749040106	1	0.9836264403	0.9888769286	0.8695652174	0.9436769394	0.9440175631	0.9538300105	0.8538011696	0.9540034072	0.9523809524
10	0.4377799583	1	0.9836264403	0.9889718961	0.8668280872	0.9436769394	0.9425028185	0.9543307087	0.8513119534	0.9557823129	0.9523809524
11	0.4038283617	1	0.9836264403	0.9889718961	0.8668280872	0.9436769394	0.9413092551	0.9543307087	0.8563049853	0.9557823129	0.9577464789
12	0.3731489258	1	0.9836264403	0.9889718961	0.8689320388	0.9436769394	0.9425028185	0.9543307087	0.8563049853	0.9557823129	0.9671361502
13	0.342929282	1	0.9836264403	0.9889953852	0.8668280872	0.9436769394	0.9421112372	0.9543307087	0.8563049853	0.9557823129	0.9622641509
14	0.3177765082	1	0.9836264403	0.9889953852	0.8668280872	0.9436769394	0.9421112372	0.9553336837	0.8563049853	0.9593220339	0.9622641509
15	0.2950730597	1	0.9836264403	0.9886444287	0.9141531323	0.9694323144	0.9397042093	0.9543307087	0.8793103448	0.9557823129	0.9577464789
16	0.2776311222	1	0.9836264403	0.9893541519	0.9162790698	0.9736842105	0.9419795222	0.9543307087	0.8793103448	0.9557823129	0.9816513761
17	0.2609922907	1	0.9836264403	0.9893617021	0.9162790698	0.9736842105	0.9418472064	0.9553336837	0.8793103448	0.9593220339	0.9816513761
18	0.2439869509	1	0.9836264403	0.9893617021	0.9187935035	0.9747530187	0.9429223744	0.9563387691	0.8793103448	0.9612141653	0.9816513761
19	0.2301574678	1	0.9836264403	0.9893541519	0.9187935035	0.9747530187	0.9419795222	0.9563387691	0.8793103448	0.9594594595	0.9816513761
20	0.216573082	1	0.9836264403	0.9889953852	0.9212962963	0.9747530187	0.9419795222	0.9563387691	0.8818443804	0.9612141653	0.9816513761
21	0.2048794374	1	0.984522003	0.9893541519	0.9212962963	0.9747530187	0.9430523918	0.9563387691	0.8914285714	0.9612141653	0.9816513761
22	0.1939816473	1	0.984522003	0.9893617021	0.9187935035	0.9747530187	0.9429223744	0.9563387691	0.8888888889	0.9612141653	0.9816513761
23	0.1832530242	1	0.984522003	0.9893541519	0.9187935035	0.9747530187	0.9430523918	0.9563387691	0.8888888889	0.9612141653	0.9816513761
24	0.1755824466	1	0.984522003	0.9900638751	0.9187935035	0.9747530187	0.9453302961	0.9563387691	0.8888888889	0.9612141653	0.9816513761
25	0.168815664	1	0.984522003	0.9900638751	0.9187935035	0.9747530187	0.9453302961	0.9563387691	0.8888888889	0.9612141653	0.9816513761
26	0.1612986405	1	0.984522003	0.9900638751	0.9187935035	0.9747530187	0.9453302961	0.9563387691	0.8888888889	0.9612141653	0.9816513761
27	0.1554514544	1	0.984522003	0.9900638751	0.9187935035	0.9747530187	0.9453302961	0.9563387691	0.8888888889	0.9612141653	0.9816513761
28	0.1498655507	1	0.984522003	0.9900638751	0.9187935035	0.9747530187	0.9453302961	0.9558359621	0.8888888889	0.9628378378	0.9816513761
29	0.144177208	1	0.9854191981	0.9900638751	0.9187935035	0.9747530187	0.9453302961	0.9563387691	0.8983050847	0.9612141653	0.9816513761
30	0.1388936032	1	0.984522003	0.9900638751	0.9212962963	0.9747530187	0.9453302961	0.9563387691	0.8914285714	0.9612141653	0.9816513761
31	0.1346460341	1	0.984522003	0.9900638751	0.9212962963	0.9747530187	0.9453302961	0.9563387691	0.8914285714	0.9612141653	0.9816513761
32	0.1305945499	1	0.9854191981	0.9900638751	0.9212962963	0.9747530187	0.9453302961	0.9558359621	0.9008498584	0.9628378378	0.9816513761
33	0.128146887	1	0.984522003	0.9914651494	0.9212962963	0.9747530187	0.9502262443	0.9558359621	0.8914285714	0.9628378378	0.9816513761
