iter	Passed	Remaining
0	66	66442
1	124	62260
2	183	60962
3	245	61083
4	303	60425
5	360	59799
6	420	59602
7	486	60372
8	548	60409
9	610	60410
10	668	60131
11	732	60284
12	799	60729
13	864	60912
14	930	61077
15	997	61349
16	1064	61559
17	1137	62032
18	1227	63375
19	1317	64576
20	1398	65177
21	1478	65709
22	1554	66020
23	1626	66154
24	1707	66592
25	1785	66897
26	1859	67000
27	1928	66931
28	2003	67083
29	2072	67005
30	2144	67031
31	2241	67796
32	2322	68066
33	2409	68460
34	2506	69099
35	2653	71042
36	2741	71351
37	2846	72055
38	2941	72488
39	3029	72717
40	3139	73434
41	3228	73635
42	3314	73771
43	3384	73543
44	3495	74186
45	3572	74090
46	3668	74380
47	3786	75094
48	3825	74244
49	3918	74446
50	4017	74762
51	4122	75153
52	4239	75755
53	4291	75183
54	4394	75502
55	4501	75883
56	4600	76105
57	4693	76224
58	4805	76645
59	4915	77016
60	4940	76044
61	5011	75820
62	5100	75860
63	5213	76246
64	5320	76533
65	5419	76699
66	5511	76746
67	5601	76770
68	5712	77076
69	5740	76260
70	5857	76636
71	6001	77349
72	6027	76546
73	6139	76824
74	6240	76961
75	6327	76927
76	6458	77423
77	6571	77682
78	6643	77455
79	6761	77756
80	6868	77922
81	6970	78036
82	7089	78326
83	7205	78573
84	7304	78628
85	7326	77861
86	7451	78194
87	7572	78481
88	7664	78455
89	7782	78689
90	7896	78874
91	7995	78912
92	8124	79232
93	8238	79400
94	8353	79581
95	8459	79664
96	8579	79871
97	8657	79687
98	8752	79659
99	8851	79663
100	8938	79563
101	9036	79557
102	9133	79545
103	9230	79523
104	9320	79450
105	9422	79468
106	9516	79419
107	9640	79621
108	9758	79772
109	9880	79938
110	10004	80123
111	10130	80318
112	10222	80239
113	10304	80088
114	10411	80124
115	10531	80253
116	10639	80295
117	10760	80429
118	10853	80349
119	10960	80376
120	11056	80320
121	11160	80315
122	11231	80083
123	11338	80101
124	11406	79842
125	11496	79746
126	11607	79793
127	11718	79834
128	11837	79926
129	11958	80030
130	12058	79993
131	12165	79996
132	12249	79849
133	12359	79873
134	12462	79854
135	12571	79867
136	12683	79898
137	12791	79901
138	12892	79857
139	12995	79832
140	13101	79814
141	13210	79822
142	13283	79608
143	13371	79484
144	13474	79450
145	13578	79424
146	13644	79175
147	13764	79241
148	13877	79261
149	13985	79253
150	14098	79269
151	14196	79200
152	14272	79011
153	14375	78969
154	14494	79018
155	14595	78966
156	14707	78973
157	14812	78939
158	14921	78924
159	14998	78742
160	15093	78652
161	15191	78583
162	15283	78478
163	15374	78374
164	15474	78310
165	15564	78197
166	15654	78087
167	15727	77890
168	15835	77864
169	15927	77764
170	16024	77684
171	16113	77570
172	16218	77530
173	16336	77549
174	16424	77430
175	16579	77622
176	16692	77616
177	16796	77566
178	16909	77556
179	17007	77478
180	17117	77453
181	17217	77384
182	17307	77268
183	17392	77130
184	17494	77070
185	17584	76957
186	17710	76996
187	17823	76983
188	17932	76947
189	18014	76797
190	18107	76695
191	18198	76584
192	18288	76468
193	18382	76371
194	18481	76294
195	18561	76138
196	18673	76117
197	18772	76038
198	18881	76002
199	19001	76007
200	19119	76000
201	19211	75894
202	19298	75767
203	19400	75700
204	19502	75630
205	19603	75559
206	19708	75502
207	19798	75385
208	19888	75270
209	19990	75200
210	20102	75170
211	20167	74963
212	20255	74842
213	20367	74807
214	20458	74696
215	20575	74681
216	20675	74603
217	20793	74589
218	20906	74556
219	21009	74489
220	21085	74324
221	21208	74324
222	21275	74131
223	21392	74109
224	21466	73939
225	21562	73846
226	21658	73755
227	21756	73668
228	21837	73521
229	21923	73396
230	22025	73322
231	22118	73219
232	22206	73100
233	22323	73074
234	22442	73056
235	22544	72982
236	22668	72979
237	22747	72830
238	22851	72762
239	22934	72626
240	23022	72506
241	23130	72451
242	23224	72351
243	23318	72250
244	23434	72216
245	23520	72092
246	23610	71978
247	23729	71954
248	23836	71893
249	23935	71806
250	24026	71697
251	24111	71570
252	24228	71536
253	24336	71476
254	24437	71395
255	24540	71320
256	24646	71252
257	24747	71171
258	24830	71041
259	24939	70981
260	25025	70858
261	25126	70777
262	25207	70639
263	25308	70557
264	25408	70473
265	25505	70378
266	25591	70257
267	25695	70183
268	25810	70138
269	25914	70066
270	26015	69981
271	26133	69945
272	26241	69881
273	26353	69827
274	26433	69688
275	26537	69612
276	26614	69466
277	26731	69425
278	26827	69328
279	26953	69308
280	27062	69245
281	27161	69155
282	27259	69063
283	27324	68887
284	27438	68837
285	27543	68763
286	27652	68698
287	27742	68586
288	27849	68515
289	27953	68437
290	28054	68351
291	28149	68253
292	28241	68145
293	28356	68093
294	28442	67972
295	28553	67910
296	28634	67777
297	28738	67700
298	28853	67646
299	28942	67532
300	29053	67469
301	29176	67434
302	29267	67323
303	29352	67202
304	29476	67166
305	29589	67108
306	29673	66982
307	29749	66839
308	29857	66769
309	29955	66675
310	30074	66627
311	30172	66533
312	30254	66404
313	30328	66258
314	30430	66173
315	30513	66047
316	30602	65935
317	30697	65835
318	30815	65785
319	30934	65736
320	30996	65564
321	31062	65405
322	31176	65345
323	31266	65236
324	31327	65065
325	31419	64958
326	31517	64865
327	31617	64776
328	31722	64698
329	31834	64632
330	31931	64538
331	32038	64462
332	32109	64315
333	32215	64237
334	32330	64177
335	32430	64088
336	32513	63964
337	32602	63854
338	32711	63782
339	32825	63719
340	32936	63650
341	33058	63603
342	33166	63529
343	33292	63487
344	33379	63373
345	33469	63263
346	33564	63162
347	33664	63072
348	33763	62979
349	33877	62915
350	33975	62820
351	34068	62717
352	34164	62619
353	34271	62541
354	34347	62406
355	34461	62340
356	34561	62248
357	34662	62159
358	34792	62123
359	34895	62036
360	35024	61996
361	35147	61945
362	35278	61907
363	35391	61837
364	35495	61752
365	35597	61663
366	35679	61540
367	35795	61474
368	35902	61395
369	36019	61331
370	36132	61260
371	36208	61125
372	36331	61071
373	36451	61011
374	36582	60970
375	36704	60913
376	36812	60833
377	36916	60745
378	37006	60635
379	37086	60509
380	37196	60431
381	37313	60365
382	37426	60292
383	37534	60211
384	37642	60130
385	37715	59993
386	37802	59878
387	37884	59756
388	37994	59677
389	38118	59621
390	38200	59499
391	38302	59408
392	38401	59311
393	38487	59196
394	38584	59097
395	38711	59045
396	38831	58980
397	38937	58895
398	39040	58804
399	39145	58718
400	39245	58623
401	39343	58525
402	39462	58459
403	39555	58354
404	39635	58230
405	39739	58141
406	39807	57999
407	39922	57926
408	40046	57866
409	40184	57826
410	40290	57739
411	40395	57651
412	40508	57574
413	40642	57527
414	40746	57438
415	40872	57378
416	40980	57293
417	41099	57224
418	41232	57174
419	41362	57119
420	41472	57037
421	41590	56965
422	41712	56898
423	41831	56827
424	41964	56775
425	42111	56742
426	42240	56683
427	42384	56645
